Race,Age
Asian,53
White,47
Hispanic,23
White,32
Hispanic,39
White,18
Hispanic,22
White,35
White,34
Black,47
White,25
Black,31
Black,41
White,30
Black,37
White,28
White,42
Black,36
White,49
White,71
Hispanic,33
White,39
Hispanic,23
Hispanic,29
White,34
White,43
Black,24
White,29
Black,34
White,75
White,68
White,34
Black,27
Black,39
White,24
Hispanic,36
White,33
White,41
Other,48
Black,21
Hispanic,24
Hispanic,27
White,32
White,67
White,49
Black,42
White,36
Hispanic,36
Black,19
White,54
Black,25
White,17
White,61
Black,29
Hispanic,56
White,40
White,45
Black,26
Hispanic,26
Hispanic,17
White,68
Hispanic,24
Hispanic,34
Native American,26
White,29
Black,33
White,39
White,45
Asian,35
White,26
White,42
White,31
White,48
Hispanic,31
Black,54
White,17
White,59
White,42
Black,23
Black,38
Black,29
White,45
Black,28
Hispanic,37
Hispanic,28
Hispanic,28
Black,51
Black,36
White,59
Black,25
White,26
Black,74
White,33
White,27
White,57
White,46
White,41
White,61
Black,45
Hispanic,35
Black,49
White,45
Black,23
White,46
White,23
Hispanic,21
Hispanic,35
White,27
Hispanic,37
White,16
White,51
Black,25
White,34
White,34
White,56
White,26
White,24
White,43
White,31
White,32
White,30
Hispanic,50
Black,20
Hispanic,31
Black,38
Black,77
White,41
White,51
White,50
White,42
White,39
White,47
White,37
White,41
Black,16
White,30
Black,27
White,43
White,31
Hispanic,42
Hispanic,21
White,49
White,34
Hispanic,27
White,24
White,17
Black,34
Hispanic,28
Black,28
Black,40
White,37
White,49
Black,43
Asian,35
Black,20
Black,25
White,25
White,26
Asian,28
Black,45
Hispanic,36
White,34
Black,37
Black,48
Black,19
White,29
Hispanic,40
White,35
Black,43
White,58
White,46
Black,30
Black,27
Black,31
White,23
Hispanic,37
Black,64
White,31
Hispanic,39
White,31
Hispanic,25
White,54
White,53
Black,37
Black,35
White,59
White,36
Hispanic,32
Hispanic,41
Hispanic,29
White,53
White,26
White,27
White,28
White,52
White,20
Hispanic,22
White,49
White,24
White,24
White,47
White,49
White,64
Black,16
White,20
White,36
White,39
Black,18
White,31
Native American,24
Black,63
White,34
White,44
White,60
White,42
White,21
White,37
White,36
Black,21
Black,24
White,38
Black,29
White,57
Black,23
Black,27
Hispanic,28
White,63
White,53
Hispanic,35
White,56
Black,39
Hispanic,23
White,40
Black,26
White,42
Black,41
White,26
Black,29
White,49
White,36
Hispanic,21
Black,27
Black,37
White,36
Black,32
White,63
Black,44
White,27
White,38
Black,17
Black,50
Black,31
White,34
White,51
White,56
White,23
Black,25
White,31
White,32
White,60
Black,42
Hispanic,39
Asian,28
White,22
Black,29
White,31
White,28
Hispanic,21
White,38
White,66
Black,36
White,83
White,32
Hispanic,27
Black,26
White,31
Black,22
Black,41
Black,41
White,51
White,72
Hispanic,52
Hispanic,47
Black,18
Hispanic,29
Black,23
Hispanic,43
White,45
White,40
White,44
Hispanic,25
Black,35
Native American,37
White,59
Hispanic,35
Black,18
Hispanic,51
White,30
Black,31
Asian,39
White,26
White,51
Hispanic,19
White,46
White,49
White,63
Black,20
White,25
Black,24
White,58
White,29
White,76
White,45
Black,20
White,58
Black,21
White,27
White,26
Hispanic,33
Hispanic,27
Black,25
Black,53
White,53
Other,42
Hispanic,22
White,52
White,36
Black,30
Other,34
Hispanic,44
White,53
White,36
Black,29
Asian,32
White,46
White,18
White,38
Black,21
White,35
White,58
Black,48
Black,31
White,47
Black,34
Black,30
White,28
Black,28
Other,46
White,40
White,37
White,53
White,41
White,42
Black,45
White,34
White,18
White,27
Hispanic,54
White,35
White,17
Black,29
White,52
Black,38
White,39
Black,26
Hispanic,22
Black,29
White,43
Hispanic,24
Black,32
White,40
Black,25
White,47
White,40
White,31
Black,36
White,62
Black,51
White,24
White,39
White,24
White,57
Other,20
White,33
White,60
Black,32
Black,40
White,18
Black,36
White,35
White,55
White,19
Hispanic,39
White,47
White,23
Black,26
White,26
Hispanic,46
Hispanic,36
Hispanic,18
Hispanic,33
White,56
Hispanic,50
White,45
Black,30
White,53
Hispanic,45
White,42
Hispanic,27
White,36
White,58
Hispanic,30
White,69
White,30
White,45
Black,22
White,28
Black,19
Black,40
Black,46
Hispanic,28
Hispanic,22
White,17
White,46
Black,35
White,35
Hispanic,28
White,15
Black,22
Hispanic,28
Native American,31
White,40
White,48
White,58
Hispanic,44
Black,21
Hispanic,50
Black,23
Hispanic,24
White,49
White,60
Hispanic,35
White,29
Black,20
White,34
White,22
White,49
White,32
Black,26
Black,41
White,61
White,49
Hispanic,28
White,35
White,29
White,51
White,52
Black,24
White,32
White,45
Asian,60
Black,23
Hispanic,27
Hispanic,46
Hispanic,33
White,40
Black,42
White,37
Black,23
White,36
White,19
White,35
White,25
White,43
White,20
White,42
Hispanic,42
White,31
Black,29
Black,18
White,33
White,59
Hispanic,47
Hispanic,39
Black,37
White,35
White,28
White,59
White,62
White,50
White,68
Black,27
White,17
White,38
Black,21
White,54
Black,20
Black,25
White,31
Native American,35
Black,36
White,60
White,24
White,27
Black,20
White,24
Hispanic,23
White,41
Black,20
White,43
Black,25
Hispanic,29
Black,35
White,30
Other,24
Native American,23
White,29
White,27
Black,23
White,50
Black,19
Hispanic,24
White,22
White,46
White,65
Black,43
White,35
White,47
White,24
White,35
Hispanic,25
Black,26
Black,27
Black,34
White,31
White,32
White,47
White,44
White,44
White,30
White,60
White,50
Black,36
Black,59
Black,33
White,19
White,56
White,45
White,22
Hispanic,34
White,53
White,48
White,25
Hispanic,30
Hispanic,47
Hispanic,33
White,34
Hispanic,29
White,63
Black,49
White,18
White,71
White,35
Hispanic,55
Black,31
White,18
White,51
Black,39
Black,20
White,29
White,40
Hispanic,42
Black,22
Black,19
Hispanic,24
White,30
White,53
Black,25
Black,28
Black,24
White,59
White,46
Black,15
White,41
Hispanic,22
White,24
White,34
White,48
White,24
Black,27
Black,30
Hispanic,27
Black,27
White,49
Black,38
Hispanic,26
Black,30
White,53
White,43
Black,23
Black,34
White,30
Hispanic,29
White,47
Black,35
Hispanic,40
Black,18
Black,24
White,29
White,44
White,19
White,50
Hispanic,17
White,57
White,30
White,38
White,31
Black,39
White,29
White,26
White,64
White,36
White,36
White,21
Black,53
White,57
Hispanic,30
Black,34
White,53
White,45
Hispanic,22
White,22
White,46
White,27
Black,42
Black,30
White,54
Hispanic,29
Hispanic,41
White,28
Black,61
White,23
Black,25
Hispanic,29
White,20
Hispanic,40
White,45
Black,33
White,76
White,47
White,45
Hispanic,40
White,37
Hispanic,49
White,27
White,36
White,23
Black,21
Hispanic,32
Black,35
Black,28
Hispanic,59
Black,28
White,45
Hispanic,45
Native American,19
White,25
Black,37
Native American,33
Asian,59
Asian,31
Black,29
White,32
Hispanic,41
White,31
White,44
White,23
White,45
White,39
Black,67
White,29
Black,25
White,28
Black,21
Hispanic,32
Hispanic,51
Hispanic,39
Black,27
White,31
White,50
White,32
White,47
White,46
White,57
White,23
White,56
Hispanic,24
White,27
White,23
White,21
White,26
Hispanic,34
Black,32
White,33
White,55
Other,48
White,35
Black,19
White,45
Black,28
Hispanic,42
White,17
Other,30
White,21
Black,33
White,45
Black,46
Hispanic,23
Hispanic,37
White,43
Hispanic,40
Black,31
Hispanic,59
Native American,46
White,37
Black,28
Hispanic,28
Hispanic,26
White,55
White,29
White,27
Black,31
White,51
White,50
Other,27
Black,18
Hispanic,46
Black,19
White,49
White,31
White,38
White,40
Hispanic,35
Hispanic,34
Asian,44
Black,23
Hispanic,43
White,31
White,27
White,46
Hispanic,18
Black,57
Hispanic,15
Black,25
White,50
White,31
White,35
Hispanic,27
Black,20
Hispanic,27
Black,33
Hispanic,22
Black,28
Black,31
White,28
Black,53
White,30
Black,39
Hispanic,40
White,30
White,21
Hispanic,35
Hispanic,21
White,47
Black,38
Black,36
White,53
Hispanic,34
Black,34
Black,30
White,28
White,47
White,49
White,36
Black,45
Black,21
Other,18
Black,25
Black,29
White,57
Black,34
White,35
White,18
White,62
Hispanic,29
Black,25
White,30
White,33
Black,56
White,49
White,20
White,62
Black,62
White,6
White,30
Black,57
Other,18
White,47
White,48
White,20
White,30
White,36
White,51
White,55
White,48
Black,20
Hispanic,25
White,26
Hispanic,45
Hispanic,35
White,63
Hispanic,34
Hispanic,36
White,22
Hispanic,31
Hispanic,25
White,57
Black,32
Black,42
White,52
Hispanic,25
White,25
Hispanic,31
Black,39
White,32
Black,16
Black,24
White,28
White,25
White,41
Black,28
Black,21
Black,30
White,58
White,47
Black,25
Black,44
Black,34
Black,27
Black,34
White,39
Black,29
White,24
White,47
White,45
Hispanic,28
Hispanic,49
White,50
White,45
White,32
Black,24
White,23
White,52
White,37
White,26
White,58
White,50
White,22
White,53
Hispanic,69
Hispanic,23
White,29
Asian,25
Black,18
Hispanic,31
White,23
Hispanic,18
Hispanic,35
Other,27
Other,28
Black,26
Hispanic,32
Hispanic,36
White,66
White,47
Black,21
White,24
White,51
White,60
White,61
Hispanic,38
White,35
Black,46
White,48
Black,36
Black,33
White,66
White,34
Black,55
White,54
White,36
Black,25
Black,24
Black,28
White,36
White,20
Hispanic,49
White,51
White,21
Other,30
Hispanic,32
Black,33
White,52
White,56
White,48
Asian,39
Hispanic,19
Hispanic,45
White,33
Black,51
White,25
White,24
White,22
White,32
Hispanic,58
Black,24
Hispanic,26
Black,30
Hispanic,31
Hispanic,34
Black,48
White,21
White,39
Black,25
White,30
White,56
White,29
Hispanic,19
Black,35
White,36
Black,24
Hispanic,23
Black,18
White,31
White,41
Black,55
Black,19
Hispanic,38
White,36
White,34
White,52
White,28
Other,50
Hispanic,55
Black,23
White,30
White,37
White,54
White,37
Black,30
Black,27
Black,22
White,29
White,39
Black,33
White,52
Hispanic,28
White,54
White,38
Hispanic,32
White,34
White,26
White,50
White,37
White,45
White,56
White,45
White,32
White,12
Native American,49
White,58
White,29
White,60
White,40
Hispanic,39
White,26
Black,24
Hispanic,34
White,27
White,44
White,25
White,55
Black,19
Black,52
Hispanic,24
White,38
White,31
White,26
White,33
White,28
White,27
White,39
White,29
White,36
White,55
White,28
Black,40
White,33
White,37
Black,39
White,43
Hispanic,38
White,55
White,52
Black,32
Hispanic,31
White,27
Asian,40
Black,31
White,30
Hispanic,26
Native American,32
White,33
Black,19
Black,33
Black,29
White,41
Black,29
Hispanic,38
Hispanic,64
White,42
White,42
Black,37
Hispanic,46
White,25
Black,36
Hispanic,21
White,30
White,53
Hispanic,31
Native American,22
White,24
Black,36
White,47
White,54
Hispanic,43
Other,38
White,30
White,51
White,55
Hispanic,16
Black,23
White,36
Black,33
Black,17
Black,22
Hispanic,22
Other,29
White,41
White,67
Native American,36
White,52
Other,56
White,35
White,45
Black,30
Black,29
White,53
Black,32
Black,22
Black,29
Black,24
Black,19
White,26
White,50
Hispanic,29
Hispanic,52
White,39
White,51
White,48
White,30
Black,37
White,25
Hispanic,30
Hispanic,35
Hispanic,32
White,35
White,31
Hispanic,30
Hispanic,23
Black,41
White,45
Black,46
Native American,36
Black,31
Black,32
Native American,38
Hispanic,33
White,45
White,38
White,22
Black,48
Hispanic,36
Hispanic,39
White,26
White,16
White,58
Hispanic,27
Hispanic,26
Black,21
White,37
Black,56
White,19
Black,38
Black,18
White,35
Hispanic,23
White,41
White,44
Black,24
Hispanic,39
Hispanic,22
White,37
White,36
White,41
Hispanic,27
White,30
White,34
White,22
White,51
White,42
Hispanic,41
White,49
White,45
White,45
White,42
Hispanic,41
White,27
White,37
Black,22
Hispanic,21
White,50
Hispanic,23
Black,25
White,51
White,46
Hispanic,23
Black,37
Black,20
White,43
White,45
Hispanic,16
White,30
White,26
Black,24
White,38
Black,28
Black,29
White,34
White,38
White,43
Hispanic,23
Hispanic,33
White,40
Asian,38
Asian,53
Black,29
Black,30
White,60
Black,25
White,24
Black,21
White,23
White,61
White,54
Hispanic,62
Black,16
White,76
White,25
White,28
Hispanic,25
White,33
White,51
Hispanic,34
Black,30
White,44
Black,24
White,29
Hispanic,48
Hispanic,19
Black,22
Hispanic,39
White,36
White,55
White,46
White,34
Native American,27
White,33
Black,18
White,33
White,46
White,51
White,50
White,33
Hispanic,25
White,52
Black,31
Black,18
Black,43
Black,34
Hispanic,65
Hispanic,37
Black,30
White,48
White,36
White,25
White,69
Hispanic,50
White,52
Black,44
White,60
Black,40
Hispanic,20
Hispanic,45
White,44
Black,40
White,25
Black,43
Black,27
Black,19
White,39
White,30
Hispanic,28
Hispanic,22
Black,16
White,40
Hispanic,38
White,20
Black,35
White,52
White,26
White,54
Hispanic,38
White,52
White,26
White,53
Black,35
White,22
Black,31
Black,32
Black,37
Black,28
Black,18
Asian,41
Black,15
White,38
White,41
White,52
Hispanic,48
White,29
White,51
Black,21
White,24
White,18
White,30
Black,33
White,60
White,28
Black,26
White,24
White,44
White,36
Asian,34
White,21
Black,37
White,53
White,45
Black,24
White,48
White,42
White,33
White,55
Asian,28
Black,25
White,28
Black,52
White,59
White,52
White,39
White,40
White,36
Black,38
Black,26
White,29
Black,37
Other,29
Black,21
Black,33
Black,33
White,23
White,26
White,29
Black,28
White,35
Asian,33
Black,24
Hispanic,28
White,19
Native American,43
White,59
White,34
White,35
Black,23
White,36
White,46
White,44
Hispanic,20
Hispanic,30
Black,29
Hispanic,35
White,36
Black,22
Black,31
White,63
White,38
Native American,31
Black,27
Hispanic,35
Black,22
White,28
Native American,26
White,22
Hispanic,31
White,43
