State,Income,Kills,Population
WI,50411.40077821012,43,5772958
ME,45397.47286821705,13,1331370
NH,54026.318681318684,7,1342373
FL,50253.18284424379,154,20629982
IA,48116.04860392968,12,3131785
TN,42232.72684085511,59,6645011
MO,41961.208205128205,64,6087203
OK,40392.05676855895,78,3926769
CA,62608.44017725258,424,39209127
NJ,80901.07102803739,35,8874516
NV,57322.970588235294,42,2919772
SC,39590.327176781,44,4958235
AK,52099.594405594406,15,741504
GA,40127.55756578947,70,10304763
MI,44985.23503649635,37,9951890
KY,46088.69841269841,43,4438229
WY,60874.993464052284,8,584290
MA,71765.91286307054,22,6826022
MS,35002.09912536443,23,2988298
VT,46284.77777777778,3,623644
KS,45093.353125,24,2911263
ND,52141.705882352944,4,754353
TX,51529.28025889968,225,27937492
WA,59315.28222996516,62,7294680
CO,58857.69704433498,74,5540921
NE,46582.90740740741,15,1905924
NY,70351.70221843003,45,19641589
IL,54052.70614359734,62,12826895
VA,61867.67934782609,47,8410946
PA,51758.76615746181,51,12783538
AR,35593.40891472868,26,2990410
CT,75149.6524822695,9,3578674
UT,60216.36877076412,23,3042613
SD,45408.26112759644,10,862890
MD,79970.6330472103,38,6004692
NC,43302.33758865248,69,10156679
AZ,42388.43967828418,118,6945452
OH,50627.46928327645,79,11635003
MN,51678.65834279228,32,5523409
NM,40952.90536277602,51,2092789
RI,64537.54285714286,2,1057063
ID,42484.78971962617,17,1682930
AL,40577.30952380953,50,4864745
DE,61792.40789473684,8,949216
LA,41635.90570175439,57,4678215
OR,48088.06647398844,38,4091404
IN,48024.22153846154,43,6633344
WV,38995.17548746518,27,1830929
HI,64708.74496644295,11,1428105
MT,45119.98119122257,11,1040863
